"week","rank","song","artist"
2019-01-05,1,"Thank U, Next","Ariana Grande"
2019-01-05,2,"Without Me","Halsey"
2019-01-05,3,"All I Want For Christmas Is You","Mariah Carey"
2019-01-05,4,"Sicko Mode","Travis Scott"
2019-01-05,5,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-01-05,6,"High Hopes","Panic! At The Disco"
2019-01-05,7,"Happier","Marshmello & Bastille"
2019-01-05,8,"Jingle Bell Rock","Bobby Helms"
2019-01-05,9,"Rockin' Around The Christmas Tree","Brenda Lee"
2019-01-05,10,"A Holly Jolly Christmas","Burl Ives"
2019-01-05,11,"The Christmas Song (Merry Christmas To You)","Nat King Cole"
2019-01-05,12,"Drip Too Hard","Lil Baby & Gunna"
2019-01-05,13,"It's The Most Wonderful Time Of The Year","Andy Williams"
2019-01-05,14,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-01-05,15,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-01-05,16,"Rudolph The Red-Nosed Reindeer","Gene Autry"
2019-01-05,17,"Mo Bamba","Sheck Wes"
2019-01-05,18,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
2019-01-05,19,"Money","Cardi B"
2019-01-05,20,"Let It Snow, Let It Snow, Let It Snow","Dean Martin"
2019-01-05,21,"Eastside","benny blanco, Halsey & Khalid"
2019-01-05,22,"Breathin","Ariana Grande"
2019-01-05,23,"Better Now","Post Malone"
2019-01-05,24,"Youngblood","5 Seconds Of Summer"
2019-01-05,25,"Last Christmas","Wham!"
2019-01-05,26,"Sleigh Ride","The Ronettes"
2019-01-05,27,"Lucid Dreams","Juice WRLD"
2019-01-05,28,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
2019-01-05,29,"Feliz Navidad","Jose Feliciano"
2019-01-05,30,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-01-05,31,"MIA","Bad Bunny Featuring Drake"
2019-01-05,32,"(There's No Place Like) Home For The Holidays","Perry Como"
2019-01-05,33,"Leave Me Alone","Flipp Dinero"
2019-01-05,34,"White Christmas","Bing Crosby"
2019-01-05,35,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
2019-01-05,36,"Going Bad","Meek Mill Featuring Drake"
2019-01-05,37,"A Lot","21 Savage"
2019-01-05,38,"Trip","Ella Mai"
2019-01-05,39,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-01-05,40,"Blue Christmas","Elvis Presley"
2019-01-05,41,"Speechless","Dan + Shay"
2019-01-05,42,"Happy Xmas (War Is Over)","John & Yoko/The Plastic Ono Band With The Harlem Community Choir"
2019-01-05,43,"Christmas (Baby Please Come Home)","Darlene Love"
2019-01-05,44,"Underneath The Tree","Kelly Clarkson"
2019-01-05,45,"Run Rudolph Run","Chuck Berry"
2019-01-05,46,"Natural","Imagine Dragons"
2019-01-05,47,"Wow.","Post Malone"
2019-01-05,48,"Love Lies","Khalid & Normani"
2019-01-05,49,"Jingle Bells","Frank Sinatra"
2019-01-05,50,"Beautiful","Bazzi Featuring Camila Cabello"
2019-01-05,51,"Better","Khalid"
2019-01-05,52,"Shallow","Lady Gaga & Bradley Cooper"
2019-01-05,53,"Cozy Little Christmas","Katy Perry"
2019-01-05,54,"She Got The Best Of Me ","Luke Combs"
2019-01-05,55,"The Christmas Song","Lauren Daigle"
2019-01-05,56,"Uproar","Lil Wayne"
2019-01-05,57,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-01-05,58,"Can't Leave Without It","21 Savage"
2019-01-05,59,"You Say","Lauren Daigle"
2019-01-05,60,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-01-05,61,"Best Shot","Jimmie Allen"
2019-01-05,62,"Dangerous","Meek Mill Featuring Jeremih & PnB Rock"
2019-01-05,63,"Be Alright","Dean Lewis"
2019-01-05,64,"Drunk Me","Mitchell Tenpenny"
2019-01-05,65,"Startender","A Boogie Wit da Hoodie Featuring Offset & Tyga"
2019-01-05,66,"Look Back At It","A Boogie Wit da Hoodie"
2019-01-05,67,"All My Friends","21 Savage"
2019-01-05,68,"BAD!","XXXTENTACION"
2019-01-05,69,"Backin' It Up","Pardison Fontaine Featuring Cardi B"
2019-01-05,70,"Break Da Law","21 Savage"
2019-01-05,71,"Imagine","Ariana Grande"
2019-01-05,72,"Talk To Me","Tory Lanez & Rich The Kid"
2019-01-05,73,"Monster","21 Savage"
2019-01-05,74,"Calling My Spirit","Kodak Black"
2019-01-05,75,"Consequences","Camila Cabello"
2019-01-05,76,"Armed And Dangerous","Juice WRLD"
2019-01-05,77,"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee"
2019-01-05,78,"Nothing Breaks Like A Heart","Mark Ronson Featuring Miley Cyrus"
2019-01-05,79,"Sixteen","Thomas Rhett"
2019-01-05,80,"Burning Man","Dierks Bentley Featuring Brothers Osborne"
2019-01-05,81,"Beautiful Crazy","Luke Combs"
2019-01-05,82,"When The Party's Over","Billie Eilish"
2019-01-05,83,"Sweet But Psycho","Ava Max"
2019-01-05,84,"This Feeling","The Chainsmokers Featuring Kelsea Ballerini"
2019-01-05,85,"You","Jacquees"
2019-01-05,86,"1.5","21 Savage"
2019-01-05,87,"Girl Like You","Jason Aldean"
2019-01-05,88,"Out For The Night","21 Savage"
2019-01-05,89,"Good Girl","Dustin Lynch"
2019-01-05,90,"No Stylist","French Montana Featuring Drake"
2019-01-05,91,"Lovely","Billie Eilish & Khalid"
2019-01-05,92,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-01-05,93,"Gun Smoke","21 Savage"
2019-01-05,94,"Demons And Angels","A Boogie Wit da Hoodie Featuring Juice WRLD"
2019-01-05,95,"ASMR","21 Savage"
2019-01-05,96,"Last Shot","Kip Moore"
2019-01-05,97,"Fine China","Future & Juice WRLD"
2019-01-05,98,"Envy Me","Calboy"
2019-01-05,99,"Lost In Japan","Shawn Mendes X Zedd"
2019-01-05,100,"This Is It","Scotty McCreery"
2019-01-12,1,"Without Me","Halsey"
2019-01-12,2,"Thank U, Next","Ariana Grande"
2019-01-12,3,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-01-12,4,"Sicko Mode","Travis Scott"
2019-01-12,5,"High Hopes","Panic! At The Disco"
2019-01-12,6,"Happier","Marshmello & Bastille"
2019-01-12,7,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-01-12,8,"Drip Too Hard","Lil Baby & Gunna"
2019-01-12,9,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-01-12,10,"Better Now","Post Malone"
2019-01-12,11,"Eastside","benny blanco, Halsey & Khalid"
2019-01-12,12,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
2019-01-12,13,"Wow.","Post Malone"
2019-01-12,14,"Youngblood","5 Seconds Of Summer"
2019-01-12,15,"Mo Bamba","Sheck Wes"
2019-01-12,16,"Breathin","Ariana Grande"
2019-01-12,17,"Money","Cardi B"
2019-01-12,18,"Lucid Dreams","Juice WRLD"
2019-01-12,19,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-01-12,20,"MIA","Bad Bunny Featuring Drake"
2019-01-12,21,"Going Bad","Meek Mill Featuring Drake"
2019-01-12,22,"Leave Me Alone","Flipp Dinero"
2019-01-12,23,"Trip","Ella Mai"
2019-01-12,24,"Speechless","Dan + Shay"
2019-01-12,25,"Natural","Imagine Dragons"
2019-01-12,26,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-01-12,27,"Love Lies","Khalid & Normani"
2019-01-12,28,"Beautiful","Bazzi Featuring Camila Cabello"
2019-01-12,29,"Shallow","Lady Gaga & Bradley Cooper"
2019-01-12,30,"Better","Khalid"
2019-01-12,31,"She Got The Best Of Me ","Luke Combs"
2019-01-12,32,"Baby Shark","Pinkfong"
2019-01-12,33,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-01-12,34,"You Say","Lauren Daigle"
2019-01-12,35,"Uproar","Lil Wayne"
2019-01-12,36,"A Lot","21 Savage"
2019-01-12,37,"Best Shot","Jimmie Allen"
2019-01-12,38,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-01-12,39,"Drunk Me","Mitchell Tenpenny"
2019-01-12,40,"Be Alright","Dean Lewis"
2019-01-12,41,"Sweet But Psycho","Ava Max"
2019-01-12,42,"Sixteen","Thomas Rhett"
2019-01-12,43,"Talk To Me","Tory Lanez & Rich The Kid"
2019-01-12,44,"Backin' It Up","Pardison Fontaine Featuring Cardi B"
2019-01-12,45,"Burning Man","Dierks Bentley Featuring Brothers Osborne"
2019-01-12,46,"Dangerous","Meek Mill Featuring Jeremih & PnB Rock"
2019-01-12,47,"Good Girl","Dustin Lynch"
2019-01-12,48,"Beautiful Crazy","Luke Combs"
2019-01-12,49,"Nothing Breaks Like A Heart","Mark Ronson Featuring Miley Cyrus"
2019-01-12,50,"This Feeling","The Chainsmokers Featuring Kelsea Ballerini"
2019-01-12,51,"Consequences","Camila Cabello"
2019-01-12,52,"Girl Like You","Jason Aldean"
2019-01-12,53,"Last Shot","Kip Moore"
2019-01-12,54,"Look Back At It","A Boogie Wit da Hoodie"
2019-01-12,55,"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee"
2019-01-12,56,"Armed And Dangerous","Juice WRLD"
2019-01-12,57,"This Is It","Scotty McCreery"
2019-01-12,58,"Calling My Spirit","Kodak Black"
2019-01-12,59,"You","Jacquees"
2019-01-12,60,"No Stylist","French Montana Featuring Drake"
2019-01-12,61,"Startender","A Boogie Wit da Hoodie Featuring Offset & Tyga"
2019-01-12,62,"Electricity","Silk City x Dua Lipa"
2019-01-12,63,"Imagine","Ariana Grande"
2019-01-12,64,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-01-12,65,"Can't Leave Without It","21 Savage"
2019-01-12,66,"Envy Me","Calboy"
2019-01-12,67,"Smile (Living My Best Life)","Lil' Duval Featuring Snoop Dogg & Ball Greezy"
2019-01-12,68,"When The Party's Over","Billie Eilish"
2019-01-12,69,"Millionaire","Chris Stapleton"
2019-01-12,70,"BAD!","XXXTENTACION"
2019-01-12,71,"Lost In Japan","Shawn Mendes X Zedd"
2019-01-12,72,"Pure Cocaine","Lil Baby"
2019-01-12,73,"Lovely","Billie Eilish & Khalid"
2019-01-12,74,"Fine China","Future & Juice WRLD"
2019-01-12,75,"Take It From Me","Jordan Davis"
2019-01-12,76,"What Makes You Country","Luke Bryan"
2019-01-12,77,"Yosemite","Travis Scott"
2019-01-12,78,"Monster","21 Savage"
2019-01-12,79,"Blue Tacoma","Russell Dickerson"
2019-01-12,80,"Down To The Honkytonk","Jake Owen"
2019-01-12,81,"Close Friends","Lil Baby"
2019-01-12,82,"Love Someone","Lukas Graham"
2019-01-12,83,"Love Wins","Carrie Underwood"
2019-01-12,84,"KIKA","6ix9ine Featuring Tory Lanez"
2019-01-12,85,"Nuketown","Ski Mask The Slump God Featuring Juice WRLD"
2019-01-12,86,"Ruin My Life","Zara Larsson"
2019-01-12,87,"Body","Loud Luxury Featuring Brando"
2019-01-12,88,"Dip","Tyga & Nicki Minaj"
2019-01-12,89,"Good Form","Nicki Minaj Featuring Lil Wayne"
2019-01-12,90,"Demons And Angels","A Boogie Wit da Hoodie Featuring Juice WRLD"
2019-01-12,91,"Here Tonight","Brett Young"
2019-01-12,92,"Burn Out","Midland"
2019-01-12,93,"Solo de Mi","Bad Bunny"
2019-01-12,94,"Lucky You","Eminem Featuring Joyner Lucas"
2019-01-12,95,"Roses","benny blanco & Juice WRLD Featuring Brendon Urie"
2019-01-12,96,"whoa (mind in awe)","XXXTENTACION"
2019-01-12,97,"All My Friends","21 Savage"
2019-01-12,98,"Make It Sweet","Old Dominion"
2019-01-12,99,"Ocean Eyes","Billie Eilish"
2019-01-12,100,"idontwannabeyouanymore","Billie Eilish"
2019-01-19,1,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-01-19,2,"Without Me","Halsey"
2019-01-19,3,"Thank U, Next","Ariana Grande"
2019-01-19,4,"Sicko Mode","Travis Scott"
2019-01-19,5,"High Hopes","Panic! At The Disco"
2019-01-19,6,"Happier","Marshmello & Bastille"
2019-01-19,7,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-01-19,8,"Drip Too Hard","Lil Baby & Gunna"
2019-01-19,9,"Eastside","benny blanco, Halsey & Khalid"
2019-01-19,10,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-01-19,11,"Wow.","Post Malone"
2019-01-19,12,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
2019-01-19,13,"Better Now","Post Malone"
2019-01-19,14,"Mo Bamba","Sheck Wes"
2019-01-19,15,"Breathin","Ariana Grande"
2019-01-19,16,"Youngblood","5 Seconds Of Summer"
2019-01-19,17,"Money","Cardi B"
2019-01-19,18,"Going Bad","Meek Mill Featuring Drake"
2019-01-19,19,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-01-19,20,"MIA","Bad Bunny Featuring Drake"
2019-01-19,21,"Leave Me Alone","Flipp Dinero"
2019-01-19,22,"Lucid Dreams","Juice WRLD"
2019-01-19,23,"Shallow","Lady Gaga & Bradley Cooper"
2019-01-19,24,"Better","Khalid"
2019-01-19,25,"Speechless","Dan + Shay"
2019-01-19,26,"Trip","Ella Mai"
2019-01-19,27,"Beautiful","Bazzi Featuring Camila Cabello"
2019-01-19,28,"Love Lies","Khalid & Normani"
2019-01-19,29,"Natural","Imagine Dragons"
2019-01-19,30,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-01-19,31,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-01-19,32,"She Got The Best Of Me ","Luke Combs"
2019-01-19,33,"A Lot","21 Savage"
2019-01-19,34,"You Say","Lauren Daigle"
2019-01-19,35,"Undecided","Chris Brown"
2019-01-19,36,"Uproar","Lil Wayne"
2019-01-19,37,"Sweet But Psycho","Ava Max"
2019-01-19,38,"Baby Shark","Pinkfong"
2019-01-19,39,"Best Shot","Jimmie Allen"
2019-01-19,40,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-01-19,41,"Beautiful Crazy","Luke Combs"
2019-01-19,42,"Be Alright","Dean Lewis"
2019-01-19,43,"Nothing Breaks Like A Heart","Mark Ronson Featuring Miley Cyrus"
2019-01-19,44,"Good Girl","Dustin Lynch"
2019-01-19,45,"Sixteen","Thomas Rhett"
2019-01-19,46,"Crushed Up","Future"
2019-01-19,47,"Burning Man","Dierks Bentley Featuring Brothers Osborne"
2019-01-19,48,"Backin' It Up","Pardison Fontaine Featuring Cardi B"
2019-01-19,49,"Look Back At It","A Boogie Wit da Hoodie"
2019-01-19,50,"Girl Like You","Jason Aldean"
2019-01-19,51,"This Feeling","The Chainsmokers Featuring Kelsea Ballerini"
2019-01-19,52,"Consequences","Camila Cabello"
2019-01-19,53,"This Is It","Scotty McCreery"
2019-01-19,54,"Armed And Dangerous","Juice WRLD"
2019-01-19,55,"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee"
2019-01-19,56,"Calling My Spirit","Kodak Black"
2019-01-19,57,"Talk To Me","Tory Lanez & Rich The Kid"
2019-01-19,58,"You","Jacquees"
2019-01-19,59,"Startender","A Boogie Wit da Hoodie Featuring Offset & Tyga"
2019-01-19,60,"Last Shot","Kip Moore"
2019-01-19,61,"No Stylist","French Montana Featuring Drake"
2019-01-19,62,"Electricity","Silk City x Dua Lipa"
2019-01-19,63,"Envy Me","Calboy"
2019-01-19,64,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-01-19,65,"Lovely","Billie Eilish & Khalid"
2019-01-19,66,"Pure Cocaine","Lil Baby"
2019-01-19,67,"Millionaire","Chris Stapleton"
2019-01-19,68,"When The Party's Over","Billie Eilish"
2019-01-19,69,"Take It From Me","Jordan Davis"
2019-01-19,70,"Can't Leave Without It","21 Savage"
2019-01-19,71,"Yosemite","Travis Scott"
2019-01-19,72,"Fine China","Future & Juice WRLD"
2019-01-19,73,"Imagine","Ariana Grande"
2019-01-19,74,"What Makes You Country","Luke Bryan"
2019-01-19,75,"Down To The Honkytonk","Jake Owen"
2019-01-19,76,"Ruin My Life","Zara Larsson"
2019-01-19,77,"BAD!","XXXTENTACION"
2019-01-19,78,"Smile (Living My Best Life)","Lil' Duval Featuring Snoop Dogg & Ball Greezy"
2019-01-19,79,"Blue Tacoma","Russell Dickerson"
2019-01-19,80,"Body","Loud Luxury Featuring Brando"
2019-01-19,81,"Butterfly Doors","Lil Pump"
2019-01-19,82,"Love Someone","Lukas Graham"
2019-01-19,83,"Space Cadet","Metro Boomin Featuring Gunna"
2019-01-19,84,"Lost In Japan","Shawn Mendes X Zedd"
2019-01-19,85,"Love Wins","Carrie Underwood"
2019-01-19,86,"Nuketown","Ski Mask The Slump God Featuring Juice WRLD"
2019-01-19,87,"Valuable Pain","YoungBoy Never Broke Again"
2019-01-19,88,"Here Tonight","Brett Young"
2019-01-19,89,"Close Friends","Lil Baby"
2019-01-19,90,"Monster","21 Savage"
2019-01-19,91,"Roses","benny blanco & Juice WRLD Featuring Brendon Urie"
2019-01-19,92,"Make It Sweet","Old Dominion"
2019-01-19,93,"Burn Out","Midland"
2019-01-19,94,"Good Form","Nicki Minaj Featuring Lil Wayne"
2019-01-19,95,"Demons And Angels","A Boogie Wit da Hoodie Featuring Juice WRLD"
2019-01-19,96,"KIKA","6ix9ine Featuring Tory Lanez"
2019-01-19,97,"Ocean Eyes","Billie Eilish"
2019-01-19,98,"idontwannabeyouanymore","Billie Eilish"
2019-01-19,99,"Dip","Tyga & Nicki Minaj"
2019-01-19,100,"Lucky You","Eminem Featuring Joyner Lucas"
2019-01-26,1,"Without Me","Halsey"
2019-01-26,2,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-01-26,3,"Sicko Mode","Travis Scott"
2019-01-26,4,"High Hopes","Panic! At The Disco"
2019-01-26,5,"Thank U, Next","Ariana Grande"
2019-01-26,6,"Happier","Marshmello & Bastille"
2019-01-26,7,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-01-26,8,"Drip Too Hard","Lil Baby & Gunna"
2019-01-26,9,"Wow.","Post Malone"
2019-01-26,10,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-01-26,11,"Eastside","benny blanco, Halsey & Khalid"
2019-01-26,12,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
2019-01-26,13,"Money","Cardi B"
2019-01-26,14,"Mo Bamba","Sheck Wes"
2019-01-26,15,"Better Now","Post Malone"
2019-01-26,16,"Youngblood","5 Seconds Of Summer"
2019-01-26,17,"Going Bad","Meek Mill Featuring Drake"
2019-01-26,18,"Breathin","Ariana Grande"
2019-01-26,19,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-01-26,20,"MIA","Bad Bunny Featuring Drake"
2019-01-26,21,"Leave Me Alone","Flipp Dinero"
2019-01-26,22,"Better","Khalid"
2019-01-26,23,"Lucid Dreams","Juice WRLD"
2019-01-26,24,"Shallow","Lady Gaga & Bradley Cooper"
2019-01-26,25,"Speechless","Dan + Shay"
2019-01-26,26,"Beautiful","Bazzi Featuring Camila Cabello"
2019-01-26,27,"Lost In The Fire","Gesaffelstein & The Weeknd"
2019-01-26,28,"Love Lies","Khalid & Normani"
2019-01-26,29,"Trip","Ella Mai"
2019-01-26,30,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-01-26,31,"Natural","Imagine Dragons"
2019-01-26,32,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-01-26,33,"Dancing With A Stranger","Sam Smith & Normani"
2019-01-26,34,"A Lot","21 Savage"
2019-01-26,35,"You Say","Lauren Daigle"
2019-01-26,36,"Sweet But Psycho","Ava Max"
2019-01-26,37,"Baby Shark","Pinkfong"
2019-01-26,38,"She Got The Best Of Me ","Luke Combs"
2019-01-26,39,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-01-26,40,"Look Back At It","A Boogie Wit da Hoodie"
2019-01-26,41,"Envy Me","Calboy"
2019-01-26,42,"Beautiful Crazy","Luke Combs"
2019-01-26,43,"Sixteen","Thomas Rhett"
2019-01-26,44,"Be Alright","Dean Lewis"
2019-01-26,45,"Backin' It Up","Pardison Fontaine Featuring Cardi B"
2019-01-26,46,"Girl Like You","Jason Aldean"
2019-01-26,47,"Burning Man","Dierks Bentley Featuring Brothers Osborne"
2019-01-26,48,"Best Shot","Jimmie Allen"
2019-01-26,49,"Uproar","Lil Wayne"
2019-01-26,50,"Nothing Breaks Like A Heart","Mark Ronson Featuring Miley Cyrus"
2019-01-26,51,"This Feeling","The Chainsmokers Featuring Kelsea Ballerini"
2019-01-26,52,"This Is It","Scotty McCreery"
2019-01-26,53,"Good Girl","Dustin Lynch"
2019-01-26,54,"Twerk","City Girls Featuring Cardi B"
2019-01-26,55,"Calling My Spirit","Kodak Black"
2019-01-26,56,"Undecided","Chris Brown"
2019-01-26,57,"Saturday Nights","Khalid & Kane Brown"
2019-01-26,58,"Armed And Dangerous","Juice WRLD"
2019-01-26,59,"Crushed Up","Future"
2019-01-26,60,"Consequences","Camila Cabello"
2019-01-26,61,"You","Jacquees"
2019-01-26,62,"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee"
2019-01-26,63,"No Stylist","French Montana Featuring Drake"
2019-01-26,64,"Lovely","Billie Eilish & Khalid"
2019-01-26,65,"Startender","A Boogie Wit da Hoodie Featuring Offset & Tyga"
2019-01-26,66,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-01-26,67,"Pure Cocaine","Lil Baby"
2019-01-26,68,"Electricity","Silk City x Dua Lipa"
2019-01-26,69,"Nights Like This","Kehlani Featuring Ty Dolla $ign"
2019-01-26,70,"Yosemite","Travis Scott"
2019-01-26,71,"Millionaire","Chris Stapleton"
2019-01-26,72,"Talk To Me","Tory Lanez & Rich The Kid"
2019-01-26,73,"What Makes You Country","Luke Bryan"
2019-01-26,74,"When The Party's Over","Billie Eilish"
2019-01-26,75,"Thotiana","Blueface"
2019-01-26,76,"Take It From Me","Jordan Davis"
2019-01-26,77,"Ruin My Life","Zara Larsson"
2019-01-26,78,"Down To The Honkytonk","Jake Owen"
2019-01-26,79,"Let Me Down Slowly","Alec Benjamin + Alessia Cara"
2019-01-26,80,"Jumpin On A Jet","Future"
2019-01-26,81,"Love Someone","Lukas Graham"
2019-01-26,82,"Body","Loud Luxury Featuring Brando"
2019-01-26,83,"Fine China","Future & Juice WRLD"
2019-01-26,84,"Nuketown","Ski Mask The Slump God Featuring Juice WRLD"
2019-01-26,85,"BAD!","XXXTENTACION"
2019-01-26,86,"Love Wins","Carrie Underwood"
2019-01-26,87,"Roses","benny blanco & Juice WRLD Featuring Brendon Urie"
2019-01-26,88,"Space Cadet","Metro Boomin Featuring Gunna"
2019-01-26,89,"Butterfly Doors","Lil Pump"
2019-01-26,90,"Valuable Pain","YoungBoy Never Broke Again"
2019-01-26,91,"Blue Tacoma","Russell Dickerson"
2019-01-26,92,"Close Friends","Lil Baby"
2019-01-26,93,"Can't Leave Without It","21 Savage"
2019-01-26,94,"Good Form","Nicki Minaj Featuring Lil Wayne"
2019-01-26,95,"Here Tonight","Brett Young"
2019-01-26,96,"idontwannabeyouanymore","Billie Eilish"
2019-01-26,97,"Ocean Eyes","Billie Eilish"
2019-01-26,98,"Burn Out","Midland"
2019-01-26,99,"Splashin","Rich The Kid"
2019-01-26,100,"Make It Sweet","Old Dominion"
2019-02-02,1,"7 Rings","Ariana Grande"
2019-02-02,2,"Without Me","Halsey"
2019-02-02,3,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-02-02,4,"Thank U, Next","Ariana Grande"
2019-02-02,5,"Sicko Mode","Travis Scott"
2019-02-02,6,"High Hopes","Panic! At The Disco"
2019-02-02,7,"Happier","Marshmello & Bastille"
2019-02-02,8,"Wow.","Post Malone"
2019-02-02,9,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-02-02,10,"Drip Too Hard","Lil Baby & Gunna"
2019-02-02,11,"Eastside","benny blanco, Halsey & Khalid"
2019-02-02,12,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-02-02,13,"Money","Cardi B"
2019-02-02,14,"Going Bad","Meek Mill Featuring Drake"
2019-02-02,15,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
2019-02-02,16,"Mo Bamba","Sheck Wes"
2019-02-02,17,"Youngblood","5 Seconds Of Summer"
2019-02-02,18,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-02-02,19,"MIA","Bad Bunny Featuring Drake"
2019-02-02,20,"Better Now","Post Malone"
2019-02-02,21,"Leave Me Alone","Flipp Dinero"
2019-02-02,22,"Breathin","Ariana Grande"
2019-02-02,23,"Better","Khalid"
2019-02-02,24,"Shallow","Lady Gaga & Bradley Cooper"
2019-02-02,25,"Lucid Dreams","Juice WRLD"
2019-02-02,26,"Middle Child","J. Cole"
2019-02-02,27,"Beautiful","Bazzi Featuring Camila Cabello"
2019-02-02,28,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
2019-02-02,29,"Twerk","City Girls Featuring Cardi B"
2019-02-02,30,"Trip","Ella Mai"
2019-02-02,31,"Speechless","Dan + Shay"
2019-02-02,32,"Love Lies","Khalid & Normani"
2019-02-02,33,"Lost In The Fire","Gesaffelstein & The Weeknd"
2019-02-02,34,"A Lot","21 Savage"
2019-02-02,35,"Sweet But Psycho","Ava Max"
2019-02-02,36,"Baby Shark","Pinkfong"
2019-02-02,37,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-02-02,38,"Keanu Reeves","Logic"
2019-02-02,39,"You Say","Lauren Daigle"
2019-02-02,40,"Backin' It Up","Pardison Fontaine Featuring Cardi B"
2019-02-02,41,"Dancing With A Stranger","Sam Smith & Normani"
2019-02-02,42,"Beautiful Crazy","Luke Combs"
2019-02-02,43,"Crushed Up","Future"
2019-02-02,44,"Look Back At It","A Boogie Wit da Hoodie"
2019-02-02,45,"Envy Me","Calboy"
2019-02-02,46,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
2019-02-02,47,"First Off","Future Featuring Travis Scott"
2019-02-02,48,"Burning Man","Dierks Bentley Featuring Brothers Osborne"
2019-02-02,49,"Sixteen","Thomas Rhett"
2019-02-02,50,"Natural","Imagine Dragons"
2019-02-02,51,"Girl Like You","Jason Aldean"
2019-02-02,52,"Be Alright","Dean Lewis"
2019-02-02,53,"This Is It","Scotty McCreery"
2019-02-02,54,"Nothing Breaks Like A Heart","Mark Ronson Featuring Miley Cyrus"
2019-02-02,55,"Undecided","Chris Brown"
2019-02-02,56,"This Feeling","The Chainsmokers Featuring Kelsea Ballerini"
2019-02-02,57,"Jumpin On A Jet","Future"
2019-02-02,58,"Good Girl","Dustin Lynch"
2019-02-02,59,"Uproar","Lil Wayne"
2019-02-02,60,"Best Shot","Jimmie Allen"
2019-02-02,61,"Ella Quiere Beber","Anuel AA & Romeo Santos"
2019-02-02,62,"Calling My Spirit","Kodak Black"
2019-02-02,63,"Armed And Dangerous","Juice WRLD"
2019-02-02,64,"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee"
2019-02-02,65,"Never Stop","Future"
2019-02-02,66,"Thotiana","Blueface"
2019-02-02,67,"You","Jacquees"
2019-02-02,68,"Secreto","Anuel AA & Karol G"
